timestamp_offset_min,cpu_pct,memory_pct,latency_ms,error_rate
0,23.4,34.6,122.9,0.07
15,22.6,30.9,128.9,0.16
30,21.6,31.4,111.6,0.48
45,21.7,34.9,134.2,0.3
60,18.7,28.9,129.0,0.12
75,24.9,34.2,113.4,0.03
90,20.9,36.2,133.9,0.28
105,19.3,33.7,119.4,0.19
120,20.9,35.7,115.7,0.35
135,22.0,32.9,129.2,0.11
150,25.6,29.1,125.5,0.26
165,20.9,29.1,130.6,0.27
180,25.2,29.8,110.8,0.27
195,26.5,36.4,137.5,0.04
210,26.3,30.2,133.8,0.45
225,24.3,30.6,139.6,0.0
240,24.6,36.7,123.1,0.5
255,23.9,31.7,119.3,0.11
270,22.7,35.8,123.0,0.47
285,25.9,34.7,123.6,0.29
300,26.0,32.5,126.9,0.03
315,18.3,33.8,113.3,0.16
330,20.6,34.5,137.4,0.05
345,25.6,28.9,120.0,0.22
360,22.6,32.7,138.8,0.35
375,22.1,30.2,133.6,0.07
390,19.0,34.9,122.1,0.03
405,19.1,30.6,122.8,0.46
420,21.3,31.7,127.8,0.15
435,21.4,31.0,135.4,0.11
450,19.6,34.1,112.8,0.01
465,24.3,34.8,120.6,0.27
480,27.4,34.8,128.3,0.14
495,26.1,35.2,131.1,0.41
510,18.9,32.1,115.4,0.01
525,24.7,31.5,133.6,0.17
540,22.6,29.7,118.3,0.2
555,20.2,30.7,132.1,0.02
570,25.3,30.7,131.8,0.33
585,21.1,36.8,115.8,0.11
600,26.4,31.9,113.2,0.35
615,21.2,36.5,136.1,0.19
630,18.7,29.9,126.8,0.16
645,18.9,31.0,117.3,0.39
660,24.4,35.4,134.1,0.41
675,23.0,36.5,127.0,0.03
690,23.2,29.6,119.6,0.36
705,27.5,33.5,126.8,0.04
720,26.3,30.2,135.9,0.14
735,25.0,32.2,118.3,0.13
750,24.3,31.6,139.7,0.02
765,18.9,28.9,112.0,0.18
780,19.8,30.5,118.6,0.14
795,19.1,32.7,114.0,0.22
810,18.3,30.8,119.2,0.47
825,22.6,35.9,120.5,0.35
840,24.5,35.8,111.6,0.37
855,18.0,34.0,115.9,0.26
870,19.6,31.1,114.8,0.21
885,18.9,32.7,120.7,0.04
900,27.5,31.0,132.0,0.09
915,24.5,33.2,135.1,0.06
930,26.8,35.6,125.9,0.25
945,24.2,35.9,131.7,0.43
960,24.5,35.1,139.4,0.06
975,26.4,35.9,115.7,0.04
990,21.5,31.0,117.7,0.17
1005,21.1,32.4,139.7,0.37
1020,25.0,36.8,127.1,0.2
1035,19.1,36.3,132.5,0.24
1050,24.7,34.3,128.5,0.46
1065,17.9,30.6,130.7,0.35
1080,24.3,33.8,126.5,0.3
1095,22.8,31.0,114.9,0.43
1110,25.0,36.5,129.7,0.19
1125,20.7,31.2,122.9,0.29
1140,26.6,31.3,123.0,0.41
1155,22.8,32.1,134.4,0.06
1170,18.2,36.0,120.9,0.41
1185,23.3,32.9,137.3,0.18
1200,20.8,30.1,134.2,0.14
1215,27.1,29.8,113.4,0.13
1230,21.8,32.6,121.6,0.09
1245,22.0,32.6,127.8,0.34
1260,23.8,32.6,116.4,0.14
1275,21.1,33.7,119.7,0.07
1290,20.7,29.7,114.3,0.28
1305,25.9,31.0,124.0,0.34
1320,18.2,30.1,115.4,0.14
1335,22.8,33.6,138.3,0.12
1350,25.2,34.9,133.0,0.11
1365,27.5,33.2,123.5,0.04
1380,21.0,35.6,128.6,0.31
1395,26.5,31.1,135.0,0.26
1410,19.2,31.6,131.7,0.45
1425,18.6,33.1,126.9,0.18
1440,27.8,36.4,118.6,0.39
1455,19.1,34.2,119.7,0.46
1470,24.2,30.5,138.8,0.1
1485,27.0,29.0,122.0,0.38
