timestamp_offset_min,cpu_pct,memory_pct,latency_ms,error_rate
0,45.2,38.7,98.5,0
15,50.5,42.3,87.2,0.01
30,31.8,41.1,108.3,0.02
45,34.4,43.4,100.0,0.04
60,47.0,42.3,120.7,0.06
75,51.7,42.9,114.3,0.03
90,55.0,44.2,107.6,0.04
105,54.5,42.9,124.9,0.1
120,42.8,43.0,135.9,0.07
135,52.2,44.3,143.9,0.1
150,28.1,44.1,127.2,0.14
165,52.2,45.8,145.8,0.11
180,37.0,44.7,146.0,0.11
195,31.2,47.2,161.9,0.04
210,38.6,44.9,162.2,0.21
225,31.7,45.9,168.4,0.2
240,25.6,47.1,171.3,0.13
255,52.5,46.4,173.5,0.14
270,48.3,50.3,178.1,0.26
285,54.8,47.0,160.3,0.15
300,31.4,50.8,159.3,0.16
315,39.6,49.8,195.1,0.1
330,43.9,51.6,219.0,0.3
345,40.0,49.8,194.8,0.24
360,28.8,52.0,188.2,0.04
375,25.0,51.3,190.9,0.11
390,49.6,50.7,234.7,0.26
405,38.5,53.1,251.9,0.11
420,53.5,50.7,240.9,0.23
435,54.0,50.7,239.6,0.39
450,49.1,56.8,212.3,0.21
465,37.7,54.8,263.0,0.28
480,30.5,53.0,239.9,0.15
495,28.8,56.4,201.1,0.45
510,53.9,52.4,239.2,0.29
525,54.0,56.0,291.9,0.3
540,39.4,58.4,302.2,0.28
555,47.0,58.6,257.4,0.29
570,25.2,58.3,301.3,0.28
585,25.8,60.3,298.0,0.13
600,54.0,58.7,215.5,0.09
615,51.0,62.2,223.8,0.11
630,39.1,58.9,328.7,0.38
645,46.0,56.2,246.1,0.27
660,29.9,59.5,329.8,0.07
675,32.2,64.1,298.5,0.2
690,27.9,61.6,332.8,0.34
705,27.5,57.1,365.5,0.51
720,51.2,63.4,282.7,0.36
735,53.9,59.2,293.8,0.3
750,28.8,65.6,291.9,0.53
765,44.0,63.0,258.2,0.07
780,30.8,64.8,383.5,0.71
795,36.2,61.5,319.7,0.35
810,53.6,62.5,357.2,0.46
825,46.6,64.3,366.2,0.04
840,46.1,64.7,316.7,0.65
855,39.6,63.1,271.8,0.18
870,39.4,69.6,372.0,0.56
885,50.6,67.4,391.0,0.6
900,50.2,62.7,389.3,0.82
915,52.3,68.5,284.8,0.09
930,42.9,68.4,402.8,0.93
945,54.5,70.2,391.4,0.44
960,39.9,69.5,308.8,0.52
975,44.7,65.6,476.3,0.1
990,49.1,69.5,360.5,0.18
1005,35.3,67.7,444.6,0.65
1020,31.8,73.2,324.8,0.03
1035,38.2,64.1,480.3,0.2
1050,39.5,69.9,365.4,0.38
1065,33.8,75.1,337.8,0.0
1080,25.5,66.2,511.5,0.11
1095,31.1,73.5,374.7,0.8
1110,42.9,69.0,473.6,0.59
1125,34.5,72.6,334.2,0.04
1140,54.8,70.3,323.4,0.87
1155,45.1,72.5,402.3,1.0
1170,25.0,74.7,367.5,0.48
1185,50.8,78.6,461.5,1.17
1200,31.1,67.9,522.8,0.75
1215,46.1,72.1,359.4,0.78
1230,36.3,79.8,475.6,0.15
1245,51.2,75.7,524.6,0.5
1260,45.8,79.9,488.1,0.38
1275,52.2,73.2,585.6,0.57
1290,33.0,81.1,443.1,0.95
1305,54.1,72.6,486.6,0.97
1320,43.5,76.1,504.1,0.7
1335,40.3,72.2,428.5,1.25
1350,46.4,79.1,368.8,0.07
1365,31.2,83.4,567.5,1.24
1380,36.5,78.9,481.3,0.83
1395,48.5,85.0,626.1,0.15
1410,49.2,77.1,490.5,0.55
1425,28.2,83.7,426.0,0.13
1440,45.6,79.5,455.6,1.36
1455,30.1,88.4,539.8,1.09
1470,35.0,89.4,609.4,1.34
1485,26.9,78.7,511.2,1.4
