timestamp_offset_min,cpu_pct,memory_pct,latency_ms,error_rate
0,46.0,56.9,41.8,0.24
15,47.4,58.6,49.3,0.15
30,39.9,55.4,61.6,0.06
45,42.2,59.6,64.5,0.3
60,40.2,56.4,62.5,0.26
75,48.0,55.1,54.7,0.48
90,41.0,60.4,45.4,0.29
105,40.7,56.4,60.8,0.0
120,43.3,61.3,43.3,0.33
135,44.2,60.6,67.7,0.0
150,43.6,54.9,61.3,0.32
165,46.2,57.0,68.0,0.28
180,44.1,58.7,49.8,0.38
195,44.8,59.1,53.6,0.33
210,43.7,56.9,60.7,0.26
225,48.4,56.8,54.2,0.32
240,41.2,58.4,63.6,0.23
255,39.8,56.9,52.3,0.45
270,48.7,60.7,45.0,0.38
285,39.8,60.3,62.8,0.09
300,46.9,59.6,55.7,0.31
315,44.1,60.0,43.8,0.2
330,42.2,54.1,39.5,0.13
345,44.5,58.4,39.8,0.37
360,47.7,57.2,40.7,0.29
375,39.0,55.2,42.9,0.23
390,45.7,57.4,56.2,0.11
405,41.6,58.0,44.1,0.11
420,48.7,54.1,48.7,0.12
435,45.9,58.7,58.5,0.04
450,39.1,56.3,45.5,0.37
465,38.9,61.3,51.6,0.29
480,47.9,55.4,48.3,0.15
495,47.1,54.5,54.6,0.18
510,48.0,57.9,51.4,0.48
525,48.0,53.6,53.0,0.01
540,46.7,55.8,53.5,0.1
555,42.5,57.3,57.2,0.39
570,46.3,60.3,54.8,0.17
585,46.2,60.8,56.7,0.13
600,40.9,58.8,45.4,0.31
615,39.3,56.5,62.9,0.43
630,41.6,57.7,46.7,0.39
645,39.8,59.6,66.2,0.14
660,41.6,60.3,39.8,0.33
675,42.8,57.8,54.2,0.31
690,46.9,60.3,67.5,0.41
705,45.7,60.1,61.3,0.23
720,48.1,56.6,67.9,0.31
735,42.4,54.4,67.4,0.05
750,45.0,57.7,64.7,0.41
765,40.0,60.1,67.5,0.42
780,43.6,57.7,54.0,0.41
795,44.7,61.2,53.2,0.33
810,39.9,54.6,57.4,0.08
825,40.1,57.9,49.5,0.23
840,39.6,60.9,43.4,0.31
855,39.4,57.3,56.6,0.16
870,46.3,56.8,67.0,0.34
885,42.6,53.5,61.7,0.22
900,43.0,55.7,48.5,0.35
915,47.6,60.6,47.1,0.46
930,45.9,60.3,58.3,0.04
945,46.8,58.9,63.0,0.27
960,44.2,58.9,48.2,0.11
975,42.6,54.5,45.9,0.18
990,45.8,59.2,60.0,0.02
1005,41.3,59.8,62.0,0.37
1020,43.1,58.8,67.3,0.05
1035,45.6,53.4,55.4,0.26
1050,39.8,54.5,50.7,0.09
1065,47.5,58.1,41.5,0.35
1080,47.6,59.2,58.1,0.21
1095,40.0,58.6,45.2,0.01
1110,40.3,56.8,51.6,0.18
1125,45.5,56.1,68.5,0.44
1140,46.4,57.1,47.9,0.4
1155,44.3,53.8,54.9,0.13
1170,43.8,59.0,40.1,0.01
1185,44.5,59.5,63.8,0.13
1200,40.4,55.8,67.1,0.35
1215,47.9,56.5,65.9,0.33
1230,47.4,56.9,40.7,0.44
1245,48.1,58.4,47.6,0.42
1260,48.3,60.3,48.5,0.43
1275,45.2,55.8,39.4,0.5
1290,48.6,56.9,45.3,0.12
1305,41.8,55.1,67.2,0.45
1320,40.6,61.1,60.0,0.39
1335,48.7,53.5,56.3,0.2
1350,46.7,54.7,38.8,0.19
1365,48.0,59.4,65.9,0.37
1380,45.3,56.1,45.3,0.33
1395,42.5,57.2,46.6,0.09
1410,46.3,54.7,67.7,0.36
1425,41.3,56.1,55.3,0.19
1440,48.7,58.8,61.9,0.14
1455,41.8,59.1,58.6,0.26
1470,42.1,55.9,65.1,0.24
1485,46.0,55.7,65.9,0.32
