timestamp_offset_min,cpu_pct,memory_pct,latency_ms,error_rate
0,36.8,36.9,98.6,0
15,42.0,35.7,98.9,0.01
30,37.9,34.6,112.8,0.01
45,53.6,38.8,118.0,0.01
60,38.2,39.0,111.6,0.04
75,45.8,38.2,104.4,0.02
90,51.3,38.6,136.3,0.06
105,49.5,39.6,135.9,0.01
120,26.3,39.4,127.6,0.11
135,51.6,39.8,131.3,0.07
150,49.1,39.1,134.4,0.03
165,26.1,40.5,137.3,0.03
180,54.9,39.2,144.1,0.13
195,30.1,41.7,140.7,0.03
210,54.5,42.4,135.1,0.05
225,27.8,40.0,150.3,0.17
240,40.6,41.5,176.5,0.05
255,40.7,43.7,157.0,0.07
270,41.7,44.8,173.9,0.21
285,54.3,42.8,150.1,0.13
300,54.9,41.8,225.5,0.05
315,53.1,45.7,230.3,0.22
330,45.9,43.3,179.3,0.13
345,47.2,45.2,229.4,0.2
360,27.3,45.4,245.3,0.2
375,36.6,46.6,226.4,0.06
390,33.5,45.1,215.6,0.18
405,52.9,47.4,198.6,0.35
420,52.7,47.7,215.5,0.15
435,32.6,50.4,238.5,0.31
450,32.1,47.7,210.1,0.08
465,33.2,45.9,217.8,0.28
480,32.5,50.6,289.8,0.09
495,44.2,48.9,205.9,0.39
510,25.4,51.0,263.8,0.2
525,40.3,48.6,285.6,0.28
540,29.1,52.0,227.2,0.19
555,45.9,49.3,219.2,0.21
570,25.3,51.1,219.2,0.07
585,54.5,49.7,245.1,0.23
600,49.4,52.4,255.8,0.15
615,50.8,55.9,303.3,0.24
630,40.1,51.8,278.6,0.25
645,29.2,52.5,320.6,0.42
660,50.4,54.6,302.3,0.35
675,39.5,55.4,318.7,0.46
690,49.7,54.2,316.9,0.53
705,38.0,57.5,250.7,0.31
720,34.7,56.3,391.4,0.52
735,44.5,55.2,306.8,0.32
750,44.2,57.5,281.7,0.46
765,37.9,57.4,328.0,0.06
780,49.8,57.9,393.5,0.61
795,26.2,60.8,340.3,0.69
810,50.7,57.3,357.2,0.55
825,49.5,62.3,395.0,0.6
840,52.1,58.8,317.7,0.73
855,42.6,60.1,375.5,0.35
870,47.9,62.0,377.6,0.08
885,51.6,61.1,367.2,0.05
900,31.4,56.6,389.4,0.08
915,34.6,58.7,380.4,0.04
930,41.0,67.0,451.9,0.7
945,38.7,63.1,293.2,0.46
960,29.0,65.4,452.9,0.24
975,30.5,61.8,464.2,0.61
990,40.6,60.6,456.7,0.94
1005,48.8,67.2,385.5,0.77
1020,54.2,67.0,501.2,0.86
1035,55.0,63.3,434.9,0.66
1050,27.2,65.8,351.4,0.69
1065,45.5,64.0,349.0,0.81
1080,54.5,70.6,325.9,0.8
1095,35.7,70.7,512.8,0.68
1110,48.7,67.6,358.5,0.67
1125,36.0,70.2,446.9,0.6
1140,54.5,69.4,473.6,0.65
1155,52.4,65.3,478.2,0.59
1170,49.0,71.8,353.0,0.64
1185,52.8,64.8,568.5,0.12
1200,45.9,64.5,453.3,0.42
1215,44.3,69.6,398.6,0.63
1230,27.1,70.5,557.4,0.05
1245,38.4,72.4,525.8,0.19
1260,37.1,72.6,595.7,1.07
1275,50.8,72.7,471.1,0.9
1290,53.4,79.6,589.5,0.53
1305,28.6,68.7,526.2,1.08
1320,25.4,79.2,486.5,0.56
1335,39.9,68.5,617.8,0.46
1350,45.4,78.5,550.9,0.77
1365,51.1,80.7,405.0,0.41
1380,46.8,79.9,624.1,0.63
1395,29.0,79.0,587.0,0.21
1410,30.4,74.5,528.3,1.09
1425,26.5,79.7,393.4,0.98
1440,52.4,73.6,453.3,1.31
1455,27.3,82.4,683.5,1.14
1470,47.0,74.6,438.1,0.84
1485,27.2,84.9,416.6,1.07
