timestamp_offset_min,cpu_pct,memory_pct,latency_ms,error_rate
0,28.0,37.4,82.0,0.01
15,25.0,31.9,82.9,0.09
30,28.9,36.5,68.0,0.45
45,27.2,36.0,84.4,0.26
60,22.4,31.6,80.1,0.23
75,23.0,35.4,86.1,0.23
90,29.0,31.7,68.9,0.18
105,28.7,31.3,66.9,0.37
120,27.4,38.7,79.0,0.15
135,24.2,38.5,82.2,0.21
150,28.4,32.5,82.0,0.47
165,22.0,37.2,76.4,0.16
180,25.8,32.1,68.4,0.09
195,29.8,35.4,92.6,0.08
210,26.7,31.3,75.4,0.08
225,25.7,38.2,86.8,0.16
240,21.6,33.6,89.4,0.19
255,27.7,32.0,67.7,0.4
270,28.0,31.2,91.4,0.5
285,23.9,36.8,90.0,0.2
300,24.7,32.9,71.9,0.35
315,26.0,35.4,67.5,0.13
330,22.7,34.2,67.6,0.46
345,26.2,32.5,75.3,0.16
360,22.8,34.4,95.0,0.29
375,24.3,31.8,94.3,0.14
390,26.9,31.3,92.8,0.06
405,22.4,31.6,78.7,0.41
420,27.5,31.1,80.7,0.05
435,24.0,38.7,72.4,0.03
450,29.7,32.8,68.6,0.05
465,21.8,31.3,91.0,0.15
480,21.8,37.9,90.1,0.18
495,29.3,33.4,71.2,0.22
510,28.6,36.6,86.1,0.05
525,22.0,34.7,94.9,0.3
540,27.2,33.8,94.6,0.33
555,23.9,35.8,72.5,0.18
570,23.7,36.6,93.5,0.21
585,22.7,33.3,93.6,0.24
600,28.6,38.3,94.0,0.09
615,26.3,32.9,69.2,0.47
630,25.6,35.3,84.5,0.09
645,23.5,35.6,95.0,0.25
660,26.0,37.9,78.2,0.42
675,21.6,38.8,69.3,0.35
690,29.1,32.6,94.0,0.45
705,25.1,36.5,74.2,0.16
720,22.0,37.6,81.0,0.12
735,23.0,31.9,83.9,0.34
750,24.6,31.2,67.9,0.02
765,23.4,35.9,88.4,0.37
780,28.5,31.8,73.5,0.39
795,27.0,33.7,72.4,0.2
810,28.6,32.9,87.4,0.31
825,21.0,37.0,78.2,0.38
840,20.5,34.7,73.1,0.47
855,20.4,35.9,69.1,0.09
870,24.6,31.6,85.7,0.16
885,23.5,34.2,90.1,0.21
900,21.3,35.6,73.5,0.27
915,23.7,32.8,93.8,0.43
930,27.3,32.7,86.8,0.33
945,29.9,31.9,93.0,0.16
960,21.9,36.2,85.6,0.47
975,25.5,35.9,81.0,0.45
990,20.2,32.2,72.7,0.17
1005,29.5,31.7,69.2,0.17
1020,23.3,34.8,96.4,0.42
1035,23.1,36.9,72.9,0.41
1050,29.2,32.0,72.2,0.12
1065,26.9,32.0,89.3,0.09
1080,21.9,31.5,94.9,0.08
1095,23.6,32.4,86.2,0.5
1110,24.7,38.5,85.7,0.48
1125,28.2,38.3,84.2,0.44
1140,20.9,36.2,72.3,0.48
1155,26.9,33.3,75.8,0.09
1170,25.6,35.6,79.4,0.31
1185,24.5,33.8,68.6,0.4
1200,25.5,37.0,74.5,0.35
1215,21.4,35.5,89.9,0.07
1230,26.0,38.3,76.4,0.29
1245,23.7,33.6,71.0,0.35
1260,23.2,35.2,92.4,0.24
1275,22.9,33.4,96.0,0.04
1290,26.1,36.4,75.3,0.01
1305,28.3,33.8,70.1,0.2
1320,29.0,35.8,66.8,0.07
1335,29.2,33.5,94.4,0.15
1350,24.2,35.3,91.4,0.19
1365,25.4,38.7,74.0,0.12
1380,25.6,31.2,69.9,0.36
1395,27.7,34.5,73.8,0.04
1410,24.4,38.1,90.7,0.1
1425,28.7,35.0,81.0,0.46
1440,23.2,31.6,78.1,0.13
1455,22.6,31.2,72.9,0.14
1470,28.5,36.8,67.1,0.11
1485,22.9,38.7,86.7,0.3
