timestamp_offset_min,cpu_pct,memory_pct,latency_ms,error_rate
0,38.1,42.5,79.0,0
15,41.0,43.5,95.2,0.0
30,28.0,43.2,89.9,0.01
45,34.4,42.9,93.7,0.04
60,42.6,42.2,93.9,0.05
75,53.1,43.9,111.2,0.05
90,53.2,44.9,118.4,0.0
105,53.1,45.9,113.8,0.07
120,29.1,47.4,125.8,0.09
135,48.5,46.6,113.7,0.13
150,39.9,47.0,125.0,0.05
165,45.4,44.8,119.6,0.01
180,49.0,48.7,146.9,0.03
195,38.9,45.5,140.3,0.07
210,45.0,48.0,168.8,0.0
225,42.0,50.7,131.2,0.1
240,49.7,49.3,173.8,0.19
255,48.8,49.6,164.8,0.0
270,47.3,49.4,161.0,0.17
285,33.3,49.4,177.5,0.15
300,49.0,49.4,195.7,0.12
315,30.1,49.4,209.0,0.21
330,32.1,54.3,168.0,0.21
345,50.0,49.9,171.6,0.25
360,53.1,52.5,190.1,0.03
375,45.2,51.2,216.3,0.02
390,36.5,54.0,162.5,0.2
405,47.7,54.6,175.5,0.41
420,34.1,54.3,179.5,0.24
435,35.0,55.2,214.8,0.4
450,53.7,53.2,227.2,0.11
465,34.7,56.5,233.8,0.24
480,42.8,60.0,215.0,0.42
495,53.1,57.5,221.2,0.48
510,34.4,53.0,248.5,0.31
525,25.7,53.6,180.1,0.21
540,35.8,56.3,201.1,0.14
555,39.1,57.9,199.0,0.34
570,30.2,59.3,203.0,0.03
585,38.8,56.7,207.7,0.49
600,45.8,56.3,253.5,0.16
615,46.5,56.5,298.3,0.13
630,44.3,58.8,224.0,0.43
645,39.4,62.4,274.3,0.09
660,35.3,60.5,324.4,0.65
675,40.3,56.8,307.8,0.2
690,26.6,65.4,274.6,0.67
705,32.9,62.8,289.2,0.43
720,51.0,67.3,360.9,0.13
735,32.2,64.9,238.7,0.43
750,32.0,62.6,257.3,0.16
765,54.7,64.7,290.1,0.54
780,41.3,60.3,322.7,0.59
795,54.7,67.2,375.3,0.68
810,53.8,69.7,282.4,0.32
825,27.8,68.9,399.3,0.26
840,39.5,66.4,381.5,0.47
855,38.8,65.2,297.6,0.68
870,45.6,64.7,260.9,0.64
885,34.7,65.8,425.6,0.37
900,37.5,68.7,366.5,0.69
915,44.4,65.2,423.7,0.53
930,41.9,65.2,308.9,0.28
945,25.0,74.8,335.0,0.23
960,38.1,73.8,448.9,0.03
975,28.3,66.5,470.0,0.42
990,47.6,70.9,290.7,0.67
1005,34.5,73.3,326.4,0.09
1020,53.5,72.4,485.9,0.44
1035,32.6,69.1,308.3,0.36
1050,35.0,77.1,296.5,0.52
1065,37.8,67.6,362.8,0.66
1080,31.2,69.8,322.1,0.94
1095,51.1,77.9,471.2,0.12
1110,37.7,76.8,319.7,0.36
1125,42.9,75.5,403.6,0.05
1140,33.8,77.9,427.5,0.49
1155,50.8,71.3,488.1,0.89
1170,44.3,72.7,490.1,0.42
1185,39.4,72.9,487.2,0.65
1200,47.5,76.4,395.8,0.32
1215,37.6,73.6,520.4,0.68
1230,36.2,77.5,338.5,1.19
1245,43.5,75.4,429.2,0.27
1260,44.4,82.0,451.9,0.49
1275,32.6,72.4,434.3,0.62
1290,45.9,83.9,457.4,0.14
1305,30.1,72.6,587.5,1.05
1320,34.3,79.4,357.1,0.99
1335,52.5,85.7,405.0,0.47
1350,51.3,85.9,452.2,0.32
1365,25.3,79.3,395.9,0.36
1380,44.1,78.2,562.7,0.38
1395,41.0,81.8,500.5,0.91
1410,49.8,88.9,537.8,1.39
1425,27.7,82.8,380.5,0.3
1440,25.1,81.6,380.4,0.99
1455,53.1,86.3,430.2,0.43
1470,45.9,84.4,467.6,0.32
1485,34.4,82.2,552.4,0.74
