timestamp_offset_min,cpu_pct,memory_pct,latency_ms,error_rate
0,40.1,43.5,147.7,0.35
15,34.3,37.6,145.9,0.2
30,36.3,41.5,120.9,0.45
45,37.5,40.0,148.5,0.16
60,40.5,43.5,141.2,0.21
75,36.4,45.2,132.7,0.31
90,35.0,37.4,145.2,0.09
105,31.8,39.8,133.8,0.43
120,40.2,39.3,120.6,0.06
135,38.7,42.5,127.1,0.38
150,38.9,37.9,123.0,0.39
165,35.6,41.7,133.1,0.22
180,32.5,40.9,136.9,0.32
195,37.1,40.9,138.9,0.29
210,33.2,45.0,128.8,0.41
225,31.0,39.9,139.1,0.05
240,30.9,44.1,119.3,0.02
255,39.0,44.1,125.3,0.21
270,31.6,38.8,119.8,0.44
285,37.1,39.8,136.6,0.31
300,37.0,43.5,142.1,0.02
315,36.0,43.2,129.0,0.01
330,32.8,44.1,127.5,0.01
345,39.0,38.9,128.0,0.34
360,37.5,37.6,142.3,0.28
375,31.9,37.6,125.7,0.13
390,32.6,37.4,135.9,0.03
405,33.7,37.6,135.5,0.06
420,30.8,44.2,137.8,0.49
435,30.8,38.1,145.5,0.07
450,38.5,44.9,128.2,0.25
465,35.2,40.7,134.1,0.35
480,31.2,41.6,125.7,0.06
495,32.2,44.0,127.4,0.08
510,37.7,43.1,145.0,0.45
525,38.5,40.6,146.2,0.24
540,40.3,39.2,136.4,0.17
555,40.3,45.2,123.4,0.42
570,34.6,44.6,119.3,0.32
585,36.3,40.1,131.9,0.16
600,37.9,41.8,131.0,0.36
615,39.3,40.6,123.8,0.49
630,36.1,44.9,148.5,0.47
645,34.5,40.9,123.2,0.39
660,38.3,44.1,125.1,0.33
675,39.1,43.5,140.5,0.48
690,37.0,41.9,141.3,0.49
705,34.0,41.0,135.1,0.18
720,33.8,38.8,124.0,0.37
735,39.3,42.1,127.1,0.25
750,37.6,44.0,140.3,0.2
765,34.6,39.6,144.7,0.04
780,31.8,44.9,120.7,0.11
795,32.5,41.1,122.1,0.47
810,35.3,42.1,146.8,0.05
825,31.7,42.0,130.2,0.38
840,36.4,40.2,121.2,0.04
855,40.2,43.8,137.3,0.28
870,35.3,43.8,127.5,0.48
885,40.2,44.6,144.7,0.33
900,35.0,38.7,120.8,0.29
915,35.4,44.2,118.7,0.03
930,34.4,42.2,122.9,0.24
945,37.0,42.5,119.8,0.5
960,39.5,41.5,127.9,0.14
975,38.5,44.9,132.9,0.07
990,33.3,40.5,142.8,0.44
1005,40.2,37.6,127.6,0.31
1020,39.6,45.0,124.3,0.27
1035,32.7,41.7,143.1,0.19
1050,38.8,43.4,127.0,0.15
1065,38.9,41.1,137.2,0.49
1080,32.0,41.0,121.8,0.15
1095,35.7,41.5,140.3,0.05
1110,32.7,39.1,129.8,0.15
1125,35.0,42.0,136.6,0.05
1140,33.1,45.1,142.0,0.49
1155,32.4,45.2,132.2,0.5
1170,33.9,43.4,132.3,0.49
1185,33.7,39.7,125.2,0.28
1200,37.4,39.8,142.5,0.02
1215,33.0,40.7,127.2,0.18
1230,35.2,44.5,128.5,0.42
1245,31.3,39.9,127.9,0.46
1260,35.1,41.3,119.5,0.15
1275,38.3,39.5,140.2,0.06
1290,32.1,39.6,125.2,0.14
1305,40.3,39.0,136.6,0.48
1320,35.2,37.8,125.7,0.34
1335,33.2,45.0,129.5,0.45
1350,35.5,41.3,148.1,0.3
1365,37.3,38.0,133.7,0.09
1380,33.5,39.9,124.7,0.08
1395,40.0,43.6,145.7,0.28
1410,34.0,41.1,129.4,0.12
1425,39.6,45.1,124.0,0.27
1440,39.4,39.9,121.6,0.32
1455,39.1,37.5,130.6,0.02
1470,36.6,37.4,142.4,0.27
1485,39.0,43.2,131.1,0.19
